"Multi Transfer Intrabank Surrounding "|"Error Code"|"Count of records"|Percentage
" NO SUCH ACCOUNT                                                                            "|0108|35|"97.22%"
" NOMOR REKENING INVALID                                                                     "|0208|1|"2.78%"
